strategy_id,reason,day,n,first_seen_ts,last_seen_ts
baseline_v1,"entry_price=0.022 outside [0.1, 0.4)",2026-05-03,7,1777788832,1777801416
baseline_v1,"entry_price=0.550 outside [0.1, 0.4)",2026-05-02,6,1777753640,1777761754
baseline_v1,hours_to_res=-493824.0 < 72,2026-05-02,6,1777766222,1777766274
baseline_v1,"entry_price=0.048 outside [0.1, 0.4)",2026-05-03,6,1777768074,1777782456
baseline_v1,"entry_price=0.910 outside [0.1, 0.4)",2026-05-02,6,1777755448,1777761756
baseline_v1,"entry_price=0.994 outside [0.1, 0.4)",2026-05-03,6,1777768062,1777805904
baseline_v1,"entry_price=0.984 outside [0.1, 0.4)",2026-05-02,6,1777759954,1777763516
baseline_v1,"entry_price=0.880 outside [0.1, 0.4)",2026-05-02,6,1777752772,1777765322
baseline_v1,"entry_price=0.011 outside [0.1, 0.4)",2026-05-03,6,1777779754,1777807678
baseline_v1,"entry_price=0.942 outside [0.1, 0.4)",2026-05-03,6,1777776184,1777807504
baseline_v1,"entry_price=0.027 outside [0.1, 0.4)",2026-05-02,6,1777759962,1777766216
baseline_v1,"entry_price=0.005 outside [0.1, 0.4)",2026-05-03,6,1777790556,1777806016
baseline_v1,"entry_price=0.090 outside [0.1, 0.4)",2026-05-03,6,1777781526,1777805038
baseline_v1,"entry_price=0.015 outside [0.1, 0.4)",2026-05-03,6,1777773428,1777805680
baseline_v1,hours_to_res=-493822.7 < 72,2026-05-02,6,1777761704,1777761742
baseline_v1,"entry_price=0.983 outside [0.1, 0.4)",2026-05-03,6,1777789692,1777807678
baseline_v1,"entry_price=0.950 outside [0.1, 0.4)",2026-05-03,6,1777776208,1777806816
baseline_v1,"entry_price=0.956 outside [0.1, 0.4)",2026-05-03,6,1777767106,1777792406
baseline_v1,"entry_price=0.030 outside [0.1, 0.4)",2026-05-03,6,1777767096,1777804756
baseline_v1,"entry_price=0.100 outside [0.1, 0.4)",2026-05-02,6,1777754564,1777755448
baseline_v1,"entry_price=0.540 outside [0.1, 0.4)",2026-05-02,6,1777753570,1777764460
baseline_v1,"entry_price=0.060 outside [0.1, 0.4)",2026-05-03,5,1777767148,1777804780
baseline_v1,"entry_price=0.730 outside [0.1, 0.4)",2026-05-03,5,1777777938,1777806772
baseline_v1,"entry_price=0.044 outside [0.1, 0.4)",2026-05-03,5,1777780668,1777780716
baseline_v1,"entry_price=0.740 outside [0.1, 0.4)",2026-05-03,5,1777777984,1777807504
baseline_v1,"entry_price=0.790 outside [0.1, 0.4)",2026-05-02,5,1777752766,1777766222
